BN,School_Year,Start_Date,Overall_Rating,Indicator_1.1,Indicator_1.2,Indicator_1.3,Indicator_1.4,Indicator_1.5,Indicator_1.6,Indicator_1.7,IndicatorOverall_1,Indicator_2.1,Indicator_2.2,Indicator_2.3,Indicator_2.4,Indicator_2.5,Indicator_2.6,Indicator_2.7,IndicatorOverall_2,Indicator_3.1,Indicator_3.2,Indicator_3.3,Indicator_3.4,Indicator_3.5,Indicator_3.6,Indicator_3.7,Indicator_3.8,IndicatorOverall_3,Indicator_4.1,Indicator_4.2,Indicator_4.3,Indicator_4.4,Indicator_4.5,Indicator_4.6,Indicator_4.7,IndicatorOverall_4,Indicator_5.1,Indicator_5.2,Indicator_5.3,Indicator_5.4,Indicator_5.5,Indicator_5.6,Indicator_5.7,IndicatorOverall_5
K276,08/01/2007 12:00:00 AM,03/10/2008 12:00:00 AM,WD,WD,WD,WD,WD,WD,WD,P,WD,P,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,WD,WD,P,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD
K279,08/01/2007 12:00:00 AM,03/10/2008 12:00:00 AM,P,WD,WD,WD,WD,P,P,WD,WD,WD,WD,P,WD,P,P,P,P,WD,WD,P,P,WD,P,WD,No Data,P,WD,WD,WD,WD,WD,WD,P,WD,WD,P,P,P,WD,P,WD,P
M163,08/01/2007 12:00:00 AM,03/10/2008 12:00:00 AM,WD,WD,WD,WD,P,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,WD,WD,WD,WD,WD,P,WD,WD,WD,P,P,P,P,P,P,WD,P
M166,08/01/2007 12:00:00 AM,03/10/2008 12:00:00 AM,WD,P,P,P,P,P,P,P,P,WD,WD,WD,P,WD,WD,WD,WD,WD,O,WD,WD,WD,WD,WD,No Data,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD
Q011,08/01/2007 12:00:00 AM,03/10/2008 12:00:00 AM,WD,WD,WD,O,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,P,WD,WD,P,WD,WD,WD,O,WD,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,O,WD
Q013,08/01/2007 12:00:00 AM,03/10/2008 12:00:00 AM,WD,O,O,O,O,O,O,O,O,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD
Q089,08/01/2007 12:00:00 AM,03/10/2008 12:00:00 AM,WD,O,O,WD,O,O,O,O,O,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,O,P,WD,WD,O,No Data,WD,O,O,O,O,WD,WD,O,O,P,WD,WD,WD,WD,WD,O,WD
Q131,08/01/2007 12:00:00 AM,03/10/2008 12:00:00 AM,WD,WD,P,P,P,WD,WD,WD,P,P,O,O,P,WD,WD,WD,WD,WD,WD,WD,P,O,WD,WD,No Data,WD,WD,P,O,O,WD,WD,WD,WD,P,WD,WD,P,WD,WD,O,WD
Q143,08/01/2007 12:00:00 AM,03/10/2008 12:00:00 AM,WD,O,O,O,O,O,O,O,O,O,WD,WD,O,O,WD,WD,WD,WD,O,WD,WD,O,O,O,No Data,WD,O,O,WD,WD,WD,O,WD,WD,WD,WD,WD,WD,O,O,O,WD
Q233,08/01/2007 12:00:00 AM,03/10/2008 12:00:00 AM,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD
Q239,08/01/2007 12:00:00 AM,03/10/2008 12:00:00 AM,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,P,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD
R018,08/01/2007 12:00:00 AM,03/10/2008 12:00:00 AM,WD,WD,WD,WD,P,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,No Data,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,P,WD,WD
R037,08/01/2007 12:00:00 AM,03/10/2008 12:00:00 AM,WD,WD,WD,WD,WD,WD,P,WD,WD,P,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,WD,WD,WD,P,WD,WD,WD,WD,WD,P,P,WD,WD,WD,P,WD,P
X024,08/01/2007 12:00:00 AM,03/10/2008 12:00:00 AM,WD,O,WD,WD,WD,WD,WD,WD,WD,P,WD,O,WD,WD,WD,WD,WD,WD,O,WD,P,WD,O,WD,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD
X035,08/01/2007 12:00:00 AM,03/10/2008 12:00:00 AM,WD,WD,WD,WD,P,P,P,WD,P,WD,WD,WD,WD,WD,P,P,WD,WD,WD,P,P,WD,WD,WD,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD
X059,08/01/2007 12:00:00 AM,03/10/2008 12:00:00 AM,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,O,O,WD,WD,O,WD,No Data,WD,WD,WD,WD,WD,WD,O,WD,WD,P,WD,WD,WD,WD,WD,O,WD
X088,08/01/2007 12:00:00 AM,03/10/2008 12:00:00 AM,P,WD,WD,WD,WD,WD,WD,WD,WD,P,P,P,P,P,UPF,P,P,WD,P,WD,UPF,P,WD,WD,No Data,P,WD,WD,WD,WD,WD,WD,P,WD,P,P,P,P,WD,P,WD,P
X114,08/01/2007 12:00:00 AM,03/10/2008 12:00:00 AM,P,WD,WD,WD,WD,WD,WD,P,WD,P,P,WD,P,WD,P,P,P,WD,P,P,P,WD,WD,WD,No Data,P,P,WD,WD,WD,WD,WD,P,WD,P,P,P,P,WD,P,WD,P
X405,08/01/2007 12:00:00 AM,03/10/2008 12:00:00 AM,WD,WD,WD,WD,WD,WD,P,WD,WD,P,P,P,WD,WD,P,WD,P,WD,O,WD,WD,WD,O,P,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD
Q068,08/01/2007 12:00:00 AM,03/11/2008 12:00:00 AM,WD,P,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,P,WD,WD,WD,WD
X073,08/01/2007 12:00:00 AM,03/11/2008 12:00:00 AM,P,P,WD,WD,P,P,P,P,P,P,P,WD,P,WD,WD,P,P,P,P,P,P,P,P,P,No Data,P,WD,WD,P,WD,WD,WD,WD,WD,P,P,P,P,P,P,WD,P
K335,08/01/2007 12:00:00 AM,03/12/2008 12:00:00 AM,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,P,WD,WD,WD,WD,WD
K403,08/01/2007 12:00:00 AM,03/12/2008 12:00:00 AM,P,P,P,WD,P,P,P,P,P,P,P,WD,P,P,P,P,P,P,UPF,UPF,UPF,P,P,WD,No Data,P,P,P,P,P,P,UPF,P,P,P,P,P,UPF,P,P,P,P
K405,08/01/2007 12:00:00 AM,03/12/2008 12:00:00 AM,P,P,P,P,UPF,P,P,P,P,P,P,P,P,WD,WD,P,P,WD,WD,P,P,WD,WD,O,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,P,UPF,UPF,P,UPF,WD,P
K430,08/01/2007 12:00:00 AM,03/12/2008 12:00:00 AM,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,No Data,WD,P,WD,P,WD,WD,WD,WD,WD,P,P,P,P,P,P,WD,P
K575,08/01/2007 12:00:00 AM,03/12/2008 12:00:00 AM,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,No Data,WD,WD,WD,O,WD,O,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD
M064,08/01/2007 12:00:00 AM,03/12/2008 12:00:00 AM,WD,WD,O,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,No Data,WD,WD,WD,O,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD
M110,08/01/2007 12:00:00 AM,03/12/2008 12:00:00 AM,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,P,P,P
M964,08/01/2007 12:00:00 AM,03/12/2008 12:00:00 AM,WD,WD,WD,WD,WD,WD,WD,P,WD,P,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,P,WD,WD,WD,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD
Q104,08/01/2007 12:00:00 AM,03/12/2008 12:00:00 AM,WD,O,O,O,O,O,O,O,O,O,WD,WD,WD,WD,WD,WD,WD,O,WD,WD,P,WD,WD,WD,No Data,WD,WD,O,WD,WD,WD,WD,WD,WD,O,WD,WD,WD,WD,WD,O,WD
Q113,08/01/2007 12:00:00 AM,03/12/2008 12:00:00 AM,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD
Q128,08/01/2007 12:00:00 AM,03/12/2008 12:00:00 AM,WD,P,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,P,WD,WD,WD,No Data,WD,O,P,P,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD
Q485,08/01/2007 12:00:00 AM,03/12/2008 12:00:00 AM,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,P,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,P,P,P,WD,WD,WD,P
R047,08/01/2007 12:00:00 AM,03/12/2008 12:00:00 AM,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,O,O,WD,WD,WD,WD,P,WD,WD,WD,No Data,WD,WD,O,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,O,O,WD
X053,08/01/2007 12:00:00 AM,03/12/2008 12:00:00 AM,WD,WD,P,WD,P,WD,P,P,P,WD,WD,P,WD,WD,P,WD,WD,WD,WD,WD,P,WD,WD,WD,No Data,WD,O,WD,WD,WD,WD,O,WD,WD,WD,WD,P,WD,WD,WD,O,WD
X230,08/01/2007 12:00:00 AM,03/12/2008 12:00:00 AM,P,WD,WD,WD,WD,WD,P,P,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,P,WD,P,P,No Data,P,WD,WD,P,WD,P,WD,P,P,WD,O,WD,WD,WD,WD,P,WD
X455,08/01/2007 12:00:00 AM,03/12/2008 12:00:00 AM,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,P,No Data,WD,WD,WD,WD,WD,WD,WD,O,WD,WD,WD,WD,WD,WD,WD,WD,WD
K196,08/01/2007 12:00:00 AM,03/13/2008 12:00:00 AM,WD,WD,WD,WD,P,O,WD,WD,WD,P,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,P,WD,WD,WD,WD,WD,WD
K398,08/01/2007 12:00:00 AM,03/13/2008 12:00:00 AM,P,WD,WD,WD,WD,P,P,WD,WD,P,P,WD,P,WD,WD,WD,P,WD,P,WD,P,WD,P,WD,No Data,P,WD,WD,WD,WD,WD,P,WD,WD,P,P,P,P,WD,WD,WD,P
K528,08/01/2007 12:00:00 AM,03/13/2008 12:00:00 AM,P,P,WD,UPF,P,P,P,P,P,P,P,P,WD,WD,P,P,P,UPF,WD,P,UPF,WD,WD,P,No Data,P,WD,WD,P,WD,WD,WD,WD,WD,UPF,P,P,P,P,P,WD,P
K544,08/01/2007 12:00:00 AM,03/13/2008 12:00:00 AM,WD,P,P,P,P,P,UPF,UPF,P,P,P,WD,WD,WD,WD,WD,WD,P,WD,WD,P,WD,WD,WD,No Data,WD,WD,WD,P,WD,O,WD,WD,WD,WD,WD,P,P,WD,WD,WD,WD
K547,08/01/2007 12:00:00 AM,03/13/2008 12:00:00 AM,P,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,P,UPF,WD,P,UPF,No Data,P,P,P,WD,P,WD,UPF,O,P,P,P,P,P,P,P,WD,P
M197,08/01/2007 12:00:00 AM,03/13/2008 12:00:00 AM,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD
M369,08/01/2007 12:00:00 AM,03/13/2008 12:00:00 AM,P,WD,P,P,P,P,P,P,P,P,P,P,P,WD,P,P,P,P,WD,P,UPF,P,WD,P,No Data,P,P,P,P,P,P,P,WD,P,UPF,UPF,UPF,UPF,UPF,UPF,P,UPF
X002,08/01/2007 12:00:00 AM,03/13/2008 12:00:00 AM,P,WD,WD,WD,WD,WD,WD,P,WD,P,WD,WD,P,P,P,P,P,WD,WD,P,P,WD,WD,P,No Data,P,WD,WD,WD,WD,WD,P,WD,WD,P,P,P,P,WD,WD,P,P
K040,08/01/2007 12:00:00 AM,03/14/2008 12:00:00 AM,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,P,WD,WD,WD,No Data,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD
K289,08/01/2007 12:00:00 AM,03/14/2008 12:00:00 AM,P,P,WD,P,UPF,P,P,P,P,UPF,P,WD,P,P,P,UPF,P,P,P,P,UPF,P,WD,P,No Data,P,P,P,WD,WD,UPF,WD,P,P,UPF,P,P,P,P,P,WD,P
Q058,08/01/2007 12:00:00 AM,03/14/2008 12:00:00 AM,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,O,WD,WD,WD,WD,O,O,WD,WD,WD,WD,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,P,WD,O,WD
X063,08/01/2007 12:00:00 AM,03/14/2008 12:00:00 AM,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,No Data,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,P,WD
X340,08/01/2007 12:00:00 AM,03/14/2008 12:00:00 AM,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,O,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,WD,WD,WD,WD,WD,WD,WD,O,WD,WD,WD,WD,WD,WD,WD,WD,WD
X360,08/01/2007 12:00:00 AM,03/14/2008 12:00:00 AM,WD,WD,WD,WD,P,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,P,P,WD,P,WD,WD,WD,No Data,P,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD
K051,08/01/2007 12:00:00 AM,03/17/2008 12:00:00 AM,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,O,WD,P,WD,WD,WD,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD
K071,08/01/2007 12:00:00 AM,03/17/2008 12:00:00 AM,P,P,P,P,WD,WD,WD,UPF,P,WD,P,WD,P,WD,UPF,P,P,P,WD,WD,P,WD,WD,P,No Data,P,WD,WD,WD,WD,WD,WD,WD,WD,P,P,P,P,P,P,WD,P
K086,08/01/2007 12:00:00 AM,03/17/2008 12:00:00 AM,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD
K135,08/01/2007 12:00:00 AM,03/17/2008 12:00:00 AM,WD,WD,WD,WD,P,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,P,WD,WD,WD,WD,WD,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD
K396,08/01/2007 12:00:00 AM,03/17/2008 12:00:00 AM,P,WD,P,P,P,P,UPF,P,P,P,P,P,P,P,WD,WD,P,WD,WD,WD,WD,WD,WD,P,No Data,WD,P,P,P,P,WD,WD,WD,P,P,UPF,P,WD,P,P,P,P
M256,08/01/2007 12:00:00 AM,03/17/2008 12:00:00 AM,P,WD,WD,WD,P,P,P,P,P,P,P,WD,P,P,P,P,P,WD,P,P,P,WD,WD,P,No Data,P,WD,WD,P,WD,WD,WD,WD,WD,P,P,P,WD,P,P,WD,P
Q010,08/01/2007 12:00:00 AM,03/17/2008 12:00:00 AM,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,P,WD,WD,O,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,O,WD
Q071,08/01/2007 12:00:00 AM,03/17/2008 12:00:00 AM,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,P,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD
Q091,08/01/2007 12:00:00 AM,03/17/2008 12:00:00 AM,P,P,P,P,WD,P,P,WD,P,P,WD,WD,P,P,WD,P,P,P,P,P,WD,P,WD,WD,No Data,P,WD,WD,P,WD,WD,WD,P,WD,P,P,P,P,UPF,P,P,P
Q122,08/01/2007 12:00:00 AM,03/17/2008 12:00:00 AM,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,O,WD,WD,WD,WD,O,WD,P,O,WD,WD,No Data,WD,O,O,O,WD,WD,WD,O,WD,P,P,WD,WD,WD,WD,WD,WD
Q153,08/01/2007 12:00:00 AM,03/17/2008 12:00:00 AM,WD,WD,WD,WD,WD,P,P,WD,WD,P,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,P,P,P,P,P,WD,P
Q226,08/01/2007 12:00:00 AM,03/17/2008 12:00:00 AM,P,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,P,WD,WD,P,P,WD,WD,P,WD,WD,WD,WD,No Data,WD,P,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,P,P,WD,P
Q455,08/01/2007 12:00:00 AM,03/17/2008 12:00:00 AM,P,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,P,P,WD,P,No Data,P,WD,WD,P,WD,WD,WD,WD,WD,P,WD,WD,P,WD,P,WD,P
Q610,08/01/2007 12:00:00 AM,03/17/2008 12:00:00 AM,WD,O,O,O,O,O,WD,O,O,O,O,WD,O,O,WD,WD,WD,O,O,WD,WD,O,O,O,No Data,O,WD,WD,WD,WD,O,O,O,WD,WD,O,O,O,O,WD,O,O
X033,08/01/2007 12:00:00 AM,03/17/2008 12:00:00 AM,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,P,P,P,P,WD,WD,WD,WD,WD,WD,WD,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD
X070,08/01/2007 12:00:00 AM,03/17/2008 12:00:00 AM,P,WD,WD,WD,WD,WD,WD,P,WD,WD,P,WD,P,P,WD,P,P,WD,WD,WD,P,WD,WD,WD,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,P,P,P,P,P,WD,P
X241,08/01/2007 12:00:00 AM,03/17/2008 12:00:00 AM,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD
X343,08/01/2007 12:00:00 AM,03/17/2008 12:00:00 AM,P,WD,WD,WD,P,WD,WD,WD,WD,P,P,WD,P,WD,WD,WD,P,WD,P,P,WD,WD,WD,WD,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,P,WD,WD,WD,P,WD,P
K088,08/01/2007 12:00:00 AM,03/18/2008 12:00:00 AM,WD,O,O,O,WD,WD,WD,O,WD,O,WD,WD,O,O,O,O,O,O,O,O,O,O,O,WD,No Data,O,O,O,O,O,O,WD,O,O,WD,WD,WD,WD,WD,WD,O,WD
K139,08/01/2007 12:00:00 AM,03/18/2008 12:00:00 AM,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,No Data,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD
K202,08/01/2007 12:00:00 AM,03/18/2008 12:00:00 AM,WD,WD,WD,WD,P,WD,WD,WD,WD,P,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,P,P,P,P,WD,P
M104,08/01/2007 12:00:00 AM,03/18/2008 12:00:00 AM,P,WD,WD,WD,WD,WD,WD,P,WD,UPF,WD,WD,P,WD,P,P,P,WD,WD,WD,P,WD,P,WD,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,UPF,UPF,WD,UPF,P,P,WD,P
Q125,08/01/2007 12:00:00 AM,03/18/2008 12:00:00 AM,WD,O,O,WD,WD,O,O,O,O,WD,O,WD,P,WD,WD,WD,WD,WD,WD,O,O,WD,WD,WD,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,O,WD,WD,WD
Q177,08/01/2007 12:00:00 AM,03/18/2008 12:00:00 AM,P,WD,WD,WD,P,P,P,P,P,P,P,WD,P,WD,P,WD,P,WD,WD,WD,WD,WD,WD,WD,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,P,P,P,P,WD,WD,P
Q199,08/01/2007 12:00:00 AM,03/18/2008 12:00:00 AM,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,P,WD,P,WD,WD,WD,No Data,WD,WD,P,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD
R030,08/01/2007 12:00:00 AM,03/18/2008 12:00:00 AM,P,P,P,P,P,P,P,WD,P,P,WD,WD,WD,O,O,O,WD,P,WD,WD,P,WD,WD,WD,No Data,WD,WD,WD,WD,WD,WD,WD,O,WD,P,P,P,P,P,P,O,P
K031,08/01/2007 12:00:00 AM,03/19/2008 12:00:00 AM,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,No Data,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
K057,08/01/2007 12:00:00 AM,03/19/2008 12:00:00 AM,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,P,WD,P,P,WD,P,WD,WD,WD,No Data,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD
K073,08/01/2007 12:00:00 AM,03/19/2008 12:00:00 AM,P,WD,P,WD,WD,WD,WD,WD,WD,WD,P,WD,P,WD,WD,WD,WD,WD,P,P,P,WD,P,WD,No Data,P,WD,WD,WD,WD,WD,P,P,WD,WD,P,P,P,WD,WD,WD,P
K243,08/01/2007 12:00:00 AM,03/19/2008 12:00:00 AM,P,WD,WD,WD,WD,WD,WD,P,WD,P,WD,WD,P,WD,WD,P,P,WD,WD,WD,P,WD,WD,WD,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,P,P,P,P,P,WD,P
K262,08/01/2007 12:00:00 AM,03/19/2008 12:00:00 AM,WD,WD,WD,P,WD,WD,WD,WD,WD,UPF,WD,WD,P,WD,P,WD,P,WD,WD,P,WD,WD,WD,WD,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,P,WD,WD,WD,WD,WD,WD
K364,08/01/2007 12:00:00 AM,03/19/2008 12:00:00 AM,WD,O,O,O,O,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,P,WD,WD,WD,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD
K493,08/01/2007 12:00:00 AM,03/19/2008 12:00:00 AM,WD,WD,WD,WD,WD,P,WD,P,WD,P,WD,WD,WD,WD,P,WD,WD,WD,O,WD,P,O,O,WD,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD
M019,08/01/2007 12:00:00 AM,03/19/2008 12:00:00 AM,WD,WD,WD,WD,P,WD,WD,WD,WD,P,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,P,WD,WD,P,WD,P,P
M292,08/01/2007 12:00:00 AM,03/19/2008 12:00:00 AM,P,P,P,P,P,UPF,UPF,P,P,P,P,WD,P,P,WD,P,P,P,P,P,UPF,P,WD,P,No Data,P,WD,WD,WD,WD,WD,P,WD,WD,P,WD,P,P,P,P,WD,P
M334,08/01/2007 12:00:00 AM,03/19/2008 12:00:00 AM,WD,WD,0,0,WD,WD,WD,WD,WD,P,WD,WD,WD,O,WD,O,WD,WD,O,WD,WD,WD,O,WD,No Data,WD,WD,WD,WD,WD,O,O,O,WD,P,WD,WD,WD,WD,WD,WD,WD
Q111,08/01/2007 12:00:00 AM,03/19/2008 12:00:00 AM,P,P,UPF,UPF,UPF,P,P,P,P,UPF,P,P,UPF,P,P,UPF,P,P,P,P,P,P,UPF,WD,No Data,P,P,P,P,P,P,P,WD,P,UPF,UPF,P,P,UPF,UPF,P,UPF
Q235,08/01/2007 12:00:00 AM,03/19/2008 12:00:00 AM,WD,WD,0,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,O,WD
X237,08/01/2007 12:00:00 AM,03/19/2008 12:00:00 AM,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,P,WD,WD,WD,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,P,P,P,P,P,WD,P
