2014-15 School Quality Report Results for High Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBN,School Name,School Type,Enrollment,Rigorous Instruction Rating,Collaborative Teachers Rating,Supportive Environment Rating,Effective School Leadership Rating,Strong Family-Community Ties Rating,Trust Rating,Student Achievement Rating,Rigorous Instruction - Percent Positive,Collaborative Teachers - Percent Positive,Supportive Environment - Percent Positive,Effective School Leadership - Percent Positive,Strong Family-Community Ties - Percent Positive,Trust - Percent Positive,Quality Review - How interesting and challenging is the curriculum?,Quality Review - How effective is the teaching and learning?,Quality Review - How well does the school assess what students are learning?,Quality Review - How well do teachers work with each other?,Quality Review - How clearly are high expectations communicated to students and staff?,Quality Review - Dates of Review,Average Grade 8 English Proficiency,Average Grade 8 Math Proficiency,Percent English Language Learners,Percent Students with Disabilities,Percent Self-Contained,Economic Need Index,Percent in Temp Housing - 4yr,Percent HRA Eligible,Percent Asian,Percent Black,Percent Hispanic,Percent White,Years of principal experience at this school,Percent of teachers with 3 or more years of experience,Student Attendance Rate,Percent of Students Chronically Absent,Teacher Attendance Rate
02M418,Millennium High School,High School,659,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Exceeding Target,87%,88%,89%,82%,71%,89%,Proficient,Proficient,Developing,Proficient,Proficient,"December 3, 2014",3.37,3.22,0.5%,9.4%,0.5%,40.2%,3.6%,27.0%,38.4%,7.6%,18.2%,32.8%,3.0,81.6%,96.4%,6.8%,97.3%
02M419,Landmark High School,High School,355,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,84%,88%,83%,86%,78%,92%,Proficient,Proficient,Proficient,Proficient,Proficient,"April 16, 2015",2.23,2.07,10.4%,24.5%,0.6%,80.4%,9.9%,68.7%,3.7%,24.2%,68.5%,1.7%,3.0,67.9%,81.9%,53.4%,96.7%
02M420,High School for Health Professions and Human Servi,High School,1664,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,87%,87%,87%,83%,69%,91%,Proficient,Proficient,Proficient,Proficient,Well Developed,April 7-8 2014,2.71,2.61,4.3%,12.4%,0.4%,67.0%,5.6%,52.1%,22.4%,18.9%,50.9%,7.3%,5.8,76.2%,91.6%,22.2%,97.0%
02M422,Quest to Learn,High School,564,Approaching Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,N/A,83%,79%,82%,74%,80%,86%,Proficient,Proficient,Developing,Proficient,Proficient,"January 14, 2015",2.56,2.27,3.0%,36.2%,1.1%,40.6%,12.8%,31.3%,8.7%,21.9%,41.5%,24.2%,0.9,44.7%,89.0%,33.7%,96.8%
02M425,Leadership and Public Service High School,High School,699,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,86%,81%,83%,84%,75%,89%,Proficient,Proficient,Proficient,Well Developed,Proficient,"April 2-3, 2014",2.33,2.18,6.7%,20.3%,4.3%,75.1%,8.9%,59.7%,3.9%,27.9%,61.9%,4.4%,4.0,73.2%,79.2%,58.3%,97.2%
02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,High School,334,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,90%,94%,83%,89%,78%,92%,Proficient,Proficient,Proficient,Proficient,Proficient,"December 16, 2014",1.83,2.07,78.4%,3.3%,0.3%,75.0%,26.3%,44.9%,2.4%,4.8%,91.3%,1.5%,5.0,54.2%,85.1%,44.2%,96.5%
02M429,Legacy School for Integrated Studies,High School,19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87%,87%,68%,87%,78%,88%,N/A,N/A,N/A,N/A,N/A,,2.19,2.03,0.0%,47.4%,0.0%,72.9%,0.0%,63.2%,0.0%,36.8%,63.2%,0.0%,2.9,100.0%,82.8%,55.0%,96.2%
02M437,Hudson High School of Learning Technologies,High School,483,Meeting Target,Exceeding Target,Approaching Target,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,85%,92%,82%,93%,75%,92%,Proficient,Proficient,Proficient,Proficient,Well Developed,"February 24, 2015",2.28,2.23,8.7%,22.2%,0.4%,75.4%,14.3%,59.4%,6.4%,29.2%,59.4%,3.3%,5.0,54.3%,82.6%,50.6%,97.0%
02M438,International High School at Union Square,High School,353,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,89%,91%,85%,88%,79%,91%,Developing,Developing,Developing,Proficient,Proficient,"March 4, 2015",1.76,2.17,86.4%,4.8%,0.0%,74.2%,38.5%,44.8%,30.6%,14.2%,45.3%,9.9%,1.0,76.0%,83.5%,40.2%,97.1%
02M439,Manhattan Village Academy,High School,415,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,88%,87%,90%,85%,80%,87%,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,"December 9, 2014",2.68,2.78,2.7%,11.3%,0.0%,59.6%,3.6%,43.6%,7.2%,9.6%,67.2%,7.2%,15.8,59.3%,98.3%,1.0%,97.9%
02M449,Vanguard High School,High School,486,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,88%,98%,89%,97%,75%,96%,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,"May 12, 2015",2.35,2.21,7.8%,21.8%,1.2%,68.5%,6.8%,52.7%,7.6%,27.4%,57.0%,4.7%,3.8,90.3%,87.2%,42.9%,97.3%
